date,headline,desc
2022-12-22 02:45:00,"Ukraine live briefing: In wake of Zelensky visit, House to debate spending bill that includes $44.9 billion for Ukraine","Biden announced $1.85 billion in security assistance for Ukraine during Zelensky's visit, which included a stop at the White House and an address to Congress."
2022-12-21 02:07:00,Zelensky tells Congress Ukraine is ‘alive and kicking’,Zelensky's first trip out of Ukraine since Russia's invasion comes as U.S. lawmakers race to pass a funding bill that includes aid for Ukraine.
2022-12-20 01:58:00,Ukraine live briefing: Zelensky travels to ‘hottest spot on the entire front line’,"President Zelensky made an unexpected visit to Bakhmut in Donetsk region, his office said, a day after calling it the ""hottest spot"" on the front line."
2022-12-19 01:04:00,Ukraine live briefing: Putin pushes even closer to Belarus in rare visit ,"Russian President Vladimir Putin is in Minsk to meet with Belarusian President Alexander Lukashenko, his regional ally."
2022-12-19 01:00:00,"In patriotism push, Russians send handmade gifts to troops in Ukraine ",The Kremlin is leading a top-down effort to mobilize ordinary citizens to support the war in Ukraine. But the propaganda is losing its edge. 
2022-12-18 09:45:00,Ukraine picks Eurovision 2023 entry from underground bomb shelter,"The duo Tvorchi and their song ""Heart of Steel"" will represent Ukraine at the Eurovision song contest in 2023 in Liverpool, England."
2022-12-18 02:11:00,"Ukraine live briefing: Drones attack Kyiv, officials say; Zelensky pushes for ‘modern air defense systems’ ","Russian President Vladimir Putin plans to meet Monday with ally Alexander Lukashenko, the Belarusian president."
2022-12-17 02:04:00,"Ukraine live briefing: Power restored to millions, Zelensky says, but some areas struggle after major bombardment",One of Russia's biggest attacks this year knocked out power to millions this week in a campaign of Kremlin aggression targeting Ukrainian infrastructure
2022-12-16 12:48:00,"Ukraine air defenses counter Russian barrage, but missiles hit energy grid","Ukraine said it intercepted most of the missiles fired by Russia, but damage to energy systems was reported in several cities and at least three people were killed. "
2022-12-16 02:00:00,‘Massive’ wave of missiles strike Ukraine; civilian and infrastructure targets hit,"Explosions and missile strikes were reported across Ukraine early Friday, including in the capital Kyiv. "
2022-12-16 01:00:00,‘Wiped out’: War in Ukraine has decimated a once feared Russian brigade,The bloody fate of Russia's 200th Motor Rifle Brigade in Ukraine is emblematic of Vladimir Putin’s derailed invasion plans.  
2022-12-15 02:37:00,Ukraine live briefing: E.U. approves Ukraine support; U.S. hits Russian oligarch Vladimir Potanin with sanctions ,"As Russian strikes on energy infrastructure intensify, the United States is preparing to share advanced weapons with Ukraine.
"
2022-12-15 01:00:00,"Russia is destroying Ukraine’s economy, raising costs for U.S. and allies","Relentless Russian bombing of infrastructure has worsened the economic outlook for Ukraine, which was already on the brink of disaster and is looking to the West for help."
2022-12-14 08:19:00,"U.S. Air Force veteran freed in Russia prisoner swap, Ukraine says","Suedi Murekezi, reportedly captured by pro-Russian separatists in June, was freed alongside 64 Ukrainian soldiers, according to Ukrainian official Andriy Yermak."
2022-12-14 01:29:00,Ukraine live briefing: Drones shot down over Kyiv; U.S. Air Force veteran freed in swap with Russia,"Ukraine's military said 13 Iranian-made Shahed drones were shot down. Suedi Murekezi, a U.S. air force veteran, was freed in a prisoner swap with Russia, an official said. "
2022-12-14 00:01:00,Analysis | Ukraine’s resilience sets a global standard,The international admiration for Volodymyr Zelensky is ultimately about much more than the man himself. 
2022-12-13 15:09:00,Kremlin says no peace for Ukraine by Christmas (or New Year’s) ,"Dmitry Peskov, the Kremlin spokesman, said a withdrawal of Russian troops from Ukraine was ""out of the question"" and urged Kyiv to accept illegal annexations as ""new realities."""
2022-12-13 02:56:00,Ukraine live briefing: $1B in additional aid pledged at Paris conference; U.S. prepares to provide advanced Patriot missile system ,"The conference, meant to coordinate support for Ukraine, brought together representatives from 24 international organizations and 46 countries. "
2022-12-12 02:00:00,Ukraine live briefing: G-7 leaders pledge ‘unwavering support’ for Kyiv; E.U. approves major economic assistance,Ukrainian President Volodymyr Zelensky described the virtual Group of Seven summit as an important event for Ukraine this week as it heads into winter with a damaged power grid.
2022-12-11 02:00:00,"Ukraine live briefing: Deadly strikes in occupied Melitopol; Russian negotiators treated Whelan ‘very separately, very distinctly’",Moscow-backed officials accused Ukraine of deploying HIMARS rockets in Melitopol. Kyiv has not taken responsibility. 
2022-12-11 01:00:00,Fierce claims to Crimea highlight slim chance of Russia-Ukraine peace deal,"The peninsula, annexed illegally in 2014, is where Russia's invasion of Ukraine began, and where many Ukrainians insist the war must end — with Moscow's defeat. "
2022-12-10 02:10:00,"Ukraine live briefing: Nobel Peace Prize winners decry authoritarianism; Russia is expanding nuclear arsenal, U.S. says",U.S. Defense Secretary Austin said nuclear powers should avoid escalating conflicts after Russia's Putin raised the possibility of a preemptive military strike
2022-12-09 02:00:00,Ukraine live briefing: Putin says Griner talks have not led to further dialogue ,Brittney Griner arrived in San Antonio after Viktor Bout landed in in Moscow; Putin threatened to continue strikes on energy infrastructure.
2022-12-08 07:57:00,Putin says Ukraine war may be ‘long process’ but cites ‘serious’ gains,Russian President Vladimir Putin said there was no need to mobilize more soldiers now.
2022-12-08 02:00:00,Ukraine live briefing: E.U. calls Russia’s invasion a ‘brutal wake-up’ for Europe; Griner released from Russia,"Europe lacks the capabilities needed to defend itself from “higher level threats,” European Union foreign policy chief Josep Borrell said. "
2022-12-08 01:00:00,"War has tamed Ukraine’s oligarchs, creating space for democratic change",The war has cost Ukraine's oligarchs and diminished their political and economic power with possibly major consequences for Ukraine's postwar political future. 
2022-12-07 13:19:00,"As Ukraine and Russia step up prisoner exchanges, scarred POWs tell of abuse","Amid grinding combat, Ukraine and Russia have stepped up exchanges of POWs in recent weeks, releasing hundreds. Some freed Ukrainians said they were tortured."
2022-12-07 02:20:00,Ukraine live briefing: Putin warns of ‘long process’ in Ukraine; says Russia has ‘not gone crazy’ over nuclear threats,Ukraine’s allies are walking a fine line after a series of drone strikes targeting Russian military airfields this week.
2022-12-06 18:51:00,"Ukraine strikes another Russian air base, showing vulnerability of defenses ","A drone attack attributed to Ukraine rocked a Russian airfield, one day after two other airbases inside Russia were struck."
2022-12-06 02:05:00,"Ukraine live briefing: Russia hit by a third drone strike, signaling strengthened Ukrainian ability","A Ukrainian official told The Washington Post that the strikes were carried out by Ukrainian drones, though Kyiv did not officially claim responsibility."
2022-12-05 16:07:00,"Support slipping for indefinite U.S. aid to Ukraine, poll finds","47 percent of Americans think Washington should urge Ukraine toward a swift peace settlement, according to the Chicago Council on Global Affairs survey."
2022-12-05 02:08:00,Ukraine live briefing: Kremlin says Ukrainian drones attacked bases deep in Russia; missile strikes cause power outages in Ukraine,"As missiles headed for Kyiv, the European Union’s embargo on seaborne Russian crude and the Group of Seven’s price cap on oil went into effect."
2022-12-04 17:32:00,Ukraine allows perilous Dnieper River crossings to flee Russian occupation,"Those willing to dare the journey face peril: A 65-year-old woman attempting to cross the river died under gunfire Sunday, according to Kherson City Council."
2022-12-04 01:34:00,"Ukraine live briefing: Few crossing Dnieper River into Kherson; ‘reduced tempo’ of war to continue, U.S. intel chief says","Russia and Ukraine will probably “try to refit, resupply, in a sense, reconstitute” in the spring, Director of National Intelligence Avril Haines said. "
2022-12-03 02:00:00,Ukraine live briefing: Russian defense minister meets with Belarusian president; Kremlin decries price cap on oil,"Moscow has denounced a price cap on Russian oil agreed by Western nations as ""dangerous."" The Biden administration has called the cap “welcome news.”"
2022-12-03 01:00:00,"After Kherson, Ukraine’s military ponders new push south and east","A logical step for Ukraine would be to press south through the Zaporizhzhia region and sever the ""land bridge"" between Russia and Crimea. "
2022-12-02 17:03:00,List of world’s most expensive cities is altered by war in Ukraine,"Moscow and St. Petersburg, the most populous cities in Russia, saw the most drastic jumps in rank of any city included. "
2022-12-02 02:09:00,Ukraine live briefing: E.U. agrees to $60 price cap on Russian oil; Scholz speaks with Putin,"Up to 13,000 Ukrainian troops have been killed in the war, a presidential adviser said. President Biden said he has no plans to meet Vladimir Putin until Russia signals an intention to end the war."
2022-12-02 01:00:00,Russia and Ukraine are fighting the first full-scale drone war,Orlans. Baraktyars. Switchblades. Kamikazes. Phoenix Ghosts. Coyote interceptors. A dizzying array of drones are battling in the historic air war in the skies of Ukraine. 
2022-12-01 02:32:00,Lion cubs rescued from Ukraine find sanctuary in the United States,The four lion cubs survived sporadic bombings and drone attacks to find refuge in Minnesota.
2022-12-01 01:14:00,Ukraine live briefing: Shelling leaves Kherson dark; Biden and Macron condemn Russia,The U.S. Army has signed a new contract worth up to $1.2 billion with Raytheon to send air defense missile systems to Ukraine.
2022-12-01 01:00:00,"In Ukraine’s capital, Putin’s attacks don’t dim the resolve to fight Russia",Many Kyiv residents say they would rather endure Russian missiles than make concessions.
2022-11-30 23:54:00,"Letter bombs strike Spain, including premier’s office, U.S. and Ukraine embassies","Letters bombs were found at the prime minister's office, the Defense Ministry, an air base and a weapons company, in addition to the Ukrainian Embassy, where a staffer was injured."
2022-11-30 05:15:00,E.U. proposes special tribunal to investigate Russian crimes in Ukraine,"The court to investigate the crimes, however, would need approval from the United Nations."
2022-11-30 02:00:00,Ukraine live briefing: E.U. proposes war crimes tribunal; energy woes continue; White House ‘concerned’ about Paul Whelan,European Commission President Ursula von der Leyen has proposed establishing a specialized court to investigate and prosecute Russia for war crimes.
2022-11-30 01:00:00,Setbacks in Ukraine war diminish Russia’s clout with regional allies ,Snubs in recent months from Kazakhstan to Tajikistan mark a regional realignment that will only sharpen as sanctions and isolation erode Russia's economic power. 
2022-11-29 07:08:00,"From a bunker, an acting mayor keeps her front-line Ukraine town alive","Russia has shelled city hall so incessantly that Svitlana Mandrych had to move her office underground, where she answers pleas for help from desperate residents."
2022-11-29 02:34:00,Ukraine live briefing: U.S. announces aid for Ukraine’s battered energy infrastructure,"The United States is expected to announce steps to help Ukraine withstand Russian attacks on its energy infrastructure, as NATO diplomats gather in Romania."
2022-11-28 17:53:00,Ukraine’s drone hunters scramble to destroy Russia’s Iranian-built fleet,"Russia has retreated on the battlefield but continues to strike Ukraine with Iranian-made Shahed drones., so Ukraine's drone hunters patrol at night to shoot them down."
2022-11-28 01:58:00,Ukraine live briefing: G-7 to discuss assault on Ukraine’s power grid; Zelensky warns citizens to brace for more Russian airstrikes,"In Brussels Monday, European diplomats will try to move forward with U.S.-backed plans to cap the price of Russian oil after talks last week stalled. "
2022-11-27 00:20:00,"Ukraine live briefing: Electricity coming back online, Zelensky says; Russians may be fleeing power plant","House Republicans, who will soon hold a slim majority, warned the Biden administration to expect tougher oversight of the $20 billion in military aid to Ukraine"
2022-11-26 02:00:00,Ukraine live briefing: European leaders in Kyiv for show of support during famine commemoration,"Electricity was restored to much of Ukraine, but 3 million customers remained without electricity, President Volodymyr Zelensky said Saturday"
2022-11-25 16:29:00,"The short life of baby Serhii, killed in a Ukraine maternity ward","One of the youngest casualties of the war, two-day-old Serhii was among the more than 440 Ukrainian children killed and hundreds more wounded so far as a result of Russia’s invasion."
2022-11-25 10:37:00,Putin tells mothers of soldiers fighting in Ukraine he ‘shares’ their pain,The carefully orchestrated meeting coinciding with Mother's Day was likely an effort to quell some of the increasingly vocal dissent being expressed by mothers of soldiers in the conflict.
2022-11-25 02:00:00,Ukraine live briefing: Putin meets with soldiers’ mothers; NATO chief warns of bleak winter for Ukraine,"NATO Secretary General Jens Stoltenberg on Friday pledged ongoing support for Ukraine, saying that backing Ukrainian forces now is a step toward a lasting peace. "
2022-11-24 02:00:00,"Ukraine live briefing: Zelensky urges U.N. to condemn ‘energy terror,’ Moscow and Kyiv exchange prisoners ","Russian President Vladimir Putin is weaponizing winter and trying to freeze Ukraine into submission, said the top U.S. diplomat at the United Nations."
2022-11-23 02:38:00,Ukraine live briefing: Russia strikes Kyiv; U.N. Security Council holds meeting on Ukraine,Ukrainian officials have warned of electricity blackouts this winter. Zaporizhzhia's governor said Wednesday that a strike killed a baby in a maternity ward.
2022-11-22 02:00:00,Ukraine live briefing: Zelensky urges power rationing; Ukraine’s security service raids Kyiv monastery,"Conditions in Ukraine at the onset of winter are grim, with the head of a major power provider predicting blackouts until at least the end of March."
2022-11-22 01:00:00,"In Kherson city, sympathies for Russia complicate reintegration into Ukraine","Many residents of Kherson held an ambivalence toward the Russians, or even an affinity, and that means undoing eight months of Russian occupation will not be easy. "
2022-11-21 16:05:00,"Shelling at nuclear plant raises alarm, as war intensifies in east Ukraine",The International Atomic Energy Agency called for a halt to bombing near the Zaporizhzhia plant in Russian-occupied Enerhodar as Moscow and Kyiv blamed each other. 
2022-11-21 15:49:00,"What Russia has gained and lost so far in Ukraine, visualized","Russia hasn’t gained more than 1,000 square miles in a week since April. See how Russian-controlled territory in Ukraine has changed throughout the war."
2022-11-21 02:00:00,Ukraine live briefing: WHO says winter ‘life-threatening’ for millions; IAEA finds damage at Zaporizhzhia plant,"The head of the U.N. nuclear watchdog said whoever is shelling the area of the Zaporizhzhia nuclear power plant is ""gambling with many people’s lives."" "
2022-11-20 02:00:00,Ukraine live briefing: ‘Powerful’ blasts around nuclear plant; Pentagon chief warns of ‘dangers of disorder’,"The International Atomic Energy Agency reported ""what appeared to be renewed shelling"" at and around the Zaporizhzhia nuclear power plant in eastern Ukraine. "
2022-11-19 20:44:00,Ukraine confronts tougher fight in push to extend battlefield wins,"Ukrainian forces have impressed the world with their counteroffensive, but both sides are gearing up to continue the fight well into next year."
2022-11-19 02:00:00,"Ukraine live briefing: Russia to get more Iranian-developed drones, officials say; first train from Kyiv arrives in Kherson","Meanwhile, power outages plague Ukrainians and Rishi Sunak pledges $59 million for Ukraine during his first visit as prime minister. "
2022-11-18 17:49:00,Ukraine says missile parts that landed in Poland may have been Ukrainian,"The air battle near the Polish border this week included dozens of missiles flying through the air in a matter of minutes, Ukraine's air force spokesman said. 
"
2022-11-18 02:00:00,Ukraine live briefing: Kyiv braces for emergency blackouts; Ukraine says missile parts could have entered Poland amid chaos ,The Swedish investigation also found “traces of explosives on several of the foreign objects that were found” at the site of the blasts. 
2022-11-17 14:31:00,Russia and Ukraine have renewed the U.N. grain deal. Is it working?,"The Black Sea Grain Initiative, brokered by the United Nations and Turkey, is meant to ease hunger exacerbated by Russia's invasion of Ukraine. "
2022-11-17 10:35:00,Blinken denies missile incident shows communication rift with Ukraine,Ukrainian and Western officials have disagreed about who fired a missile that landed inside Poland.
2022-11-17 09:40:00,Dutch court convicts three of murder in MH17 jet downing over Ukraine ,"More than eight years after Malaysia Airlines Flight 17 was shot down over eastern Ukraine, killing all passengers and crew on board, the defendants were convicted in absentia. "
2022-11-17 06:33:00,"Russia pummels Ukraine with missiles and drones, injuring civilians","Moscow's latest air assault highlighted its limited strategic options after repeated battlefield losses, while Turkey announced the extension of a deal to protect grain exports."
2022-11-17 04:00:00,"In the UAE, Russians fleeing Ukraine war seek success in ‘Dubaisk’","Since Vladimir Putin’s invasion of Ukraine, a torrent of Russians have arrived in Dubai — seeking refuge from military mobilization and international sanctions."
2022-11-17 02:00:00,Ukraine live briefing: Strikes reported across Ukraine; grain deal extended by four months ,"Multiple explosions were reported across Ukraine Thursday, including in the capital, Kyiv, in Odessa in the south and in the central city of Dnipro. "
2022-11-16 00:55:00,"Russia-Ukraine war live updates: Despite reports Ukrainian defense likely caused fatal explosion, NATO blames Russia",NATO Secretary General Jens Stoltenberg said Wednesday that the explosion in Poland on Tuesday that claimed two lives was probably caused by a Ukrainian missile defending against Russian attack.
2022-11-15 16:05:00,Russia sees its role on the global stage diminished by Ukraine war,"At the G-20 in Bali and COP27 in Egypt, Russia has found itself in an unusual position — a leading topic of discussion rather than a leading player."
2022-11-15 11:06:00,Two dead in Poland as Ukraine war spills into NATO territory,"The Polish government said a Russian-made missile fell into the village of Przewodów, about five miles from the Ukrainian border."
2022-11-15 09:46:00,"In G-20 talks, China objects to calling Russian invasion of Ukraine a ‘war’ ",China’s opposition highlights how Beijing has tried to play both sides on Ukraine. The summit's final communique will likely have split language on the issue.
2022-11-14 02:00:00,Ukraine live briefing: Triumphant Zelensky visits recaptured Kherson; CIA director meets with Russian counterpart ,Ukraine says Russians wrecked key infrastructure in Kherson and left residents without water and power before withdrawing.
2022-11-13 15:43:00,"Russian zookeeper kidnaps animals from Kherson, Ukraine says",Videos show Oleg Zubkov taking animals from Kherson Zoo to his Crimean safari park. It's one of many instances of fleeing Russians looting Ukrainian cities.
2022-11-13 02:10:00,Ukraine live briefing: Kherson tries to rebuild infrastructure; White House pledges more aid,"Meanwhile, Russian President Vladimir Putin proposed a law to strip the citizenship of people who criticize the war if they have foreign parents."
2022-11-12 10:25:00,Banksy unveils mural of gymnast on a destroyed building in Ukraine,The anonymous British graffiti artist shared images of his new work on the side of a destroyed building in Borodyanka in Ukraine's Kyiv region.
2022-11-12 02:00:00,"Ukraine live briefing: Kherson elated about Ukrainian control, but city has ‘no electricity or water’","Celebrations in Ukraine continued Saturday, after Ukrainian President Volodymyr Zelensky announced that Kyiv had retaken much of the strategic city of Kherson."
2022-11-11 14:23:00,Loss of Kherson city shatters Putin’s war goals in Ukraine,"Ukrainian forces moved into Kherson city on Friday, the sole regional capital that Russian had managed to capture since the start of its invasion on Feb. 24"
2022-11-11 09:14:00,Ukraine rejoices as Russia retreats from key southern city of Kherson,Ukraine announced Friday that its troops were spreading out in the southern city of Kherson soon after Russia said its forces had finished withdrawing.
2022-11-11 02:00:00,Ukraine live briefing: Zelensky hails ‘historic day’ as Ukrainian troops take city of Kherson,Russia said Friday that it had finished withdrawing its troops from the western bank of the Dnieper River in Kherson.
2022-11-11 00:07:00,"Analysis | After midterms, U.S. and European support for Ukraine endures ","The E.U.'s envoy to Washington says he has ""no doubt"" there will be ""continuity"" in U.S. support for Ukraine, no matter the midterms."
2022-11-10 12:50:00,‘Speeding up our victory’: Howitzers aid Ukraine’s push on southern front ,U.S.-provided howitzers help speed Ukraine's push on the southern front.
2022-11-10 06:30:00,"‘Well over’ 100,000 Russian troops killed or wounded in Ukraine, U.S. says","Gen. Mark A. Milley’s figure is a sharp increase from the Pentagon’s August estimate of 70,000 to 80,000 Russian casualties."
2022-11-10 02:00:00,Ukraine live briefing: Ukrainian troops advance on Kherson with caution; U.S. to send more air defenses ,Ukraine's announcement comes after Russia said it will evacuate its troops from the strategic city of Kherson and its surrounding area.
2022-11-09 18:27:00,What to know about Ukraine’s move into Kherson city ,"A Ukrainian recapture of the city would be a major military setback for Moscow, but it is unclear how it will affect Russia’s broader war aims."
2022-11-09 14:30:00,"Ukraine war, Russian energy attacks loom over COP27 climate conference",Ukrainian delegates hope their presence at COP27 will keep the war fresh in people's minds and spark broader discussions about the world's reliance on fossil fuels.
2022-11-09 03:31:00,Ukraine live briefing: Russia announces retreat from city of Kherson,"Russian Defense Minister Sergei Shoigu said that Russian troops were retreating east of the Dnieper River, a major setback for Putin."
2022-11-08 01:59:00,Ukraine live briefing: U.S. confirms Moscow communications; Zelensky calls for peace in address to climate summit ,"As the COP27 climate conference convened, Ukrainian President Volodymyr Zelensky said: ""Anyone serious about climate should oppose the war."" "
2022-11-07 18:24:00,Russia’s heavy casualties in Ukraine spark outcry and rare official response,It was the first time since the start of Russia’s invasion that the ministry has officially responded to reports of mass casualties and criticism of commanders on Telegram.
2022-11-07 01:36:00,Ukraine live briefing: Leaders at COP27 say war has compounded climate crisis; millions without power in Kyiv,"In the occupied Kherson region, Ukrainian forces claimed responsibility for an attack on a Russian base as they continued to target Russian logistics there."
2022-11-07 00:01:00,Analysis | A Republican winter may be coming for Ukraine,"“The U.S. midterms are one of the factors that have us concerned about the winter,” a senior Ukrainian official told The Washington Post."
2022-11-06 01:53:00,"Ukraine live briefing: Grid damage leaves 4.5M in Kyiv area without power, Zelensky says","An attack on Kherson cut power to the area, Russian-backed authorities said Sunday."
2022-11-05 02:00:00,Ukraine live briefing: Iran says it gave Russia drones before war; Zelensky calls it a ‘confession’,The White House promised Ukraine a $400 million aid package that includes tank refurbishments and drones. 
2022-11-04 02:00:00,Ukraine live briefing: G-7 to offer infrastructure help to Ukraine; Putin tells Kherson residents to flee,"Putin urges residents to evacuate from Kherson while G-7 foreign ministers agree to help repair Ukraine's critical infrastructure, including energy and water."
2022-11-03 01:43:00,Ukraine live briefing: G-7 meets for talks on Russian oil; U.N. says no indication of undeclared nuclear activities in Ukraine,The two-day gathering comes about a year after the G-7 promised to impose “massive consequences” on Russia if it invaded Ukraine.
2022-11-02 02:22:00,Ukraine live briefing: Power outages hit Kyiv and other cities; Russia returns to grain deal,"Russia resumed participation in the U.N.-brokered grain initiative after pulling out this past weekend, citing an attack on its fleet that it blamed on Ukraine."
2022-11-01 14:25:00,Russian defense minister insists Ukraine infrastructure is military target ,Ukraine says water service is restored in Kyiv after airstrikes; United Nations warns grain will no longer ship from Ukrainian ports after Russia nixes agreement 
2022-11-01 05:47:00,Banking tycoon renounces citizenship of ‘fascist’ Russia over Ukraine war,"Businessman Oleg Tinkov, who publicly criticized Russia's invasion in February, said he “can’t and won’t be associated with a fascist country.” "
2022-11-01 02:03:00,"Ukraine live briefing: Kyiv, Moscow to halt grain ships Wednesday","Russia said it may block ships carrying grain from Ukraine's Black Sea ports, in a move that could have a profound impact on global food security."
2022-10-31 06:45:00,Missiles slam Ukraine as Russia strikes infrastructure in new air barrage,Blackouts were reported across Ukraine as Moscow pummeled the power system in a continuing effort to deprive citizens of electricity and heat.
2022-10-31 03:30:00,"Russia-Ukraine war updates: Power, water outages in Kyiv, key cities after strikes on infrastructure","Strikes were reported in Kyiv, Kharkiv, Zaporizhzhia and other regions days after drone strikes damaged Russian warships off the coast of Crimea."
2022-10-29 16:59:00,Russia pauses grain deal after Ukraine strikes warships in Crimea,"Russia says it will withdraw from the U.N.-brokered deal after a ""massive"" drone strike on its warships in Sevastopol, Crimea."
2022-10-29 02:00:00,Ukraine live briefing: Russia pauses grain deal after Ukraine strikes warships in Sevastopol,"Moscow says it will pause the U.N.-brokered grain deal after Ukrainian drone strikes on warships in Sevastopol, Crimea, on Saturday."
2022-10-28 02:11:00,Ukraine live briefing: Russia says mobilization complete; Pentagon offers modest new aid package ,President Biden expressed skepticism of Russia's intentions after Vladimir Putin downplayed the chance that he would use a nuclear weapon in Ukraine. 
2022-10-27 17:14:00,Putin demands U.S. respect ‘multipolar’ world and tell Ukraine to seek peace,"The Russian president, in a long speech, blamed his war in Ukraine on Western powers and repeated his false accusations against Kyiv of state-sponsored 'Nazism'"
2022-10-27 08:27:00,U.N. uses before-and-after photos to track Ukraine’s cultural destruction,"More than 200 Ukrainian cultural sites have been damaged or destroyed since Russia launched its invasion, according to a new U.N. database."
2022-10-27 02:01:00,"Ukraine live briefing: Putin decries Western ‘liberal elites,’ plays down nuclear fears in global affairs speech ","Western powers have warned that Russia will use the claim that Ukraine is planning to use a ""dirty bomb"" on its own soil as a pretext for escalating the war."
2022-10-26 02:01:00,Ukraine live briefing: Body of U.S. citizen killed in war released to Ukraine; Russia stages nuclear force drills,"Russia began routine annual exercises involving large-scale drills of its strategic nuclear forces, even as tensions flare with the West over Ukraine."
2022-10-26 02:00:00,European allies worry U.S. could dial back support for Ukraine,"“If America starts to blink, other nations might as well,"" one British member of Parliament said of the possibility of the U.S. cutting aid to Ukraine. "
2022-10-25 02:00:00,Ukraine live briefing: Congressional Progressive Caucus withdraws Ukraine letter; Brittney Griner appeal rejected,"At the U.N. Security Council, Russia could repeat its accusation that Ukraine will use a bomb on its own territory — a claim the West has dismissed."
2022-10-24 06:17:00,Macron says it’s up to Ukraine to decide how and when peace deal comes,"Speaking in Italy, French President Emmanuel Macron said the West’s indirect involvement helped set the stage for Ukraine to dictate a peace deal."
2022-10-24 02:04:00,"Ukraine live briefing: Russian ‘dirty bomb’ claims transparently false, White House says","Britain, France and the United States said Russia's unfounded claims that Ukraine plans to use a ""dirty bomb"" on its own territory are not true."
2022-10-23 02:16:00,Ukraine live briefing: Pelosi to speak at summit; British official warns of Kremlin pretext,"The U.K. Defense Ministry ""refuted these claims"" from Russian Defense Minister Sergei Shoigu, who said without evidence that Ukraine plans to use a dirty bomb."
2022-10-23 01:00:00,"Cyprus, a haven for Russian expats, welcomes techies fleeing Ukraine war","As Europe has turned angrily against Moscow's war in Ukraine, Russian digital nomads have flocked to Cyprus, bringing a new buzz to a longstanding expat community."
2022-10-22 08:20:00,‘Total darkness and cold are coming’: Massive strikes hit Ukraine electrical grid,Ukraine’s national electricity provider said the assault was one of the worst attacks since the beginning of Moscow’s campaign against the energy grid.
2022-10-22 02:00:00,Ukraine live briefing: Zelensky underscores scope of Russian attacks; Kremlin-backed Kherson authorities urge evacuation,"Russian authorities tell Kherson residents to flee the southern city. Russian cruise missiles target several Ukrainian cities, wiping out electricity. "
2022-10-21 02:15:00,Ukraine live briefing: U.S. defense secretary speaks with Russian counterpart; Zelensky warns Moscow plans ‘false flag’ attack,The United States said Iranian military personnel in Crimea are assisting Russia in its drone attacks against Ukraine.
2022-10-20 18:51:00,"Ukraine urges citizens to turn off appliances, save power after airstrikes",Some predicted that the need for Ukrainians to hunker down for periods of cold and dark would strengthen resolve to defeat Russia.
2022-10-20 14:40:00,Ukraine improvises with aging air defenses to counter Russian missiles ,"As Russia rains missiles down on civilian infrastructure targets, Ukrainian forces are waiting for sophisticated air defenses promised by Western nations. "
2022-10-20 04:00:00,"ISIS fighters terrorize Mozambique, threaten gas supply amid Ukraine war",One of the Islamic State’s newest branches is fueling a brutal conflict that has been raging in northern Mozambique for five years — and this insurgency has global implications.
